"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"herberkids","21 December 2017","I absolutely loved this movie. The soundtrack is amazing, the songs are gripping and beautifully performed. The actors were all well chosen for their rolls. The dance numbers were very well choreographed. I am absolutely going to see this again. I think this movie would have done much better in the box office if it were released before Star Wars, or a few weeks after. It's a shame that it's likely going to be lost in a shadow due to the timing of it's release date.","
            5/10
            "
"gornasa","22 March 2018","I don't know what the critics are saying, but I know why so many people disagree with them. It is surely a pretty production with great attention to detail, and if you liked High School Musical 3, you're going to love this. In order to like this movie, you have to go in with a certain mindset because this movie doesn't aspire to be anything more than light-hearted entertainment. It instantly made me think of 'Sing', the animated feature with animals singing in a musical, and that one was way above this in terms of music and storyline. Here, the plot is as straight as a piece of stick, there is zero actual drama and character development of any sort. The only thing that happens is that P.T. Barnum loses his job and buys a museum, that's all the story summarized for you (without any spoilers).I enjoyed the music but yes, it's very pop and silly and for kids. Dancing is unoriginal and repetitive. And if you want to see how NOT to introduce the main characters' life stories in a movie, watch the first five minutes of this thing. Basically, it's a fast-forward version sung by the main character as a child - and the screenwriter didn't think you need more. Actually, the whole movie is like that - there is hardly anything to it, it's just a collection of beautiful images but there's nothing to make you care for the characters. All dramas are resolved with an imaginary flick of the fingers - one moment there's no drama, flick your fingers and you have a potentially dramatic situation, then flick them again and the problem is gone, and because the characters sing their problems away, you hardly notice anything happened anyway. What's the point of this? Hell, I have no idea.I didn't expect this to be some seriously ambitious musical, but from the start I was wondering, why a musical at all? I would've loved to see the story of P.T. Barnum as a proper movie with a plot. With all the money that went into it, it could've been something truly spectacular. As it is now, we don't get to see who P.T. Barmum was, and what he did, all we see is a bunch of weird people singing and dancing, and even that is an exaggeration because most of those people are just kind of filling in, they have no actual place in the storyline, they're just dressed funny but other than that they have no reason to be in P.T. Barnum's circus. If P.T. Barnum's show looked anything like what they show here, nobody would go to see it.Why did they use Barnum at all? Why not simply do a movie about SOME showman and his band of singing dancers? It actually doesn't matter that those people are freaks because that bit isn't explored at all. In the 21st century you'd imagine that this would be the perfect opportunity to squeeze in every controversial topic if you have a fat bearded woman here and an interracial couple, and a few other misfits. And yet, a circus that bases its feeling of family on the fact that they're all freaks, surprisingly avoids any real treatment of those various issues.There was more social commentary in 'Three billboards' - and that one wasn't impressive either.Honestly, the worst thing about this movie is that they involved the actual greatest showman and didn't tell his story AT ALL. The only thing in common he has with the main character is the name and his circus. I didn't expect a historically accurate movie detailing all the turns of the man's life but come on, at least if you're setting the whole thing in the times when he lived, then show what life was like then? The British queen that he meets is probably the single thing that tells you that oh, this is the 19th century. And what's with the computer-generated elephants twice the size of the actual animal in real life? Seriously, they couldn't get a live elephant to walk a few steps on the set? This movie is best described, in my opinion, as rainbow cotton candy - it is that colorful and sweet, and it has just as much depth in any way whatsoever.
I would've given it fewer stars but it does have beautiful sets, the costumes are amazing, the acting is good, and you'll probably feel a little bit happier after watching this.","
            7/10
            "
"eminkl","10 October 2019","Waste of an opposition here. The scenes are moving too quickly from one to the other-as if it were a live show. It seems like the movie is just a vehicle for the catchy songs with little thought being put into the script.","
            1/10
            "
"jaezander","9 February 2018","I don't mean to discourage anyone from finding joy or meaning in The Greatest Showman, but as someone who values truthful screen adaptations and authentic intersectional representation in the media, I have some fundamental issues with this film. The Greatest Showman--even with its big budget, great cast, and good intentions on the surface--fails to come across as genuine to me. If I have to put aside the historical inaccuracies, I will, but not before saying that it was incredibly pointless to have this based on a real person. This film has nothing to do with P.T. Barnum--a man who grossly exploited the ""oddities"" of marginalized people to make himself rich--and I think it's in extremely poor taste to make a sensationalized, sugar-coated version of his story.But even after putting all of that aside, on its own, the film is generic and lacking a genuine commitment to it's message of acceptance and inclusivity. This has everything to do with its framing. At it's core, the film frames the white male protagonist as the hero of marginalized people, using the diverse cast of ""freak"" characters as a collective plot device to further Barnum's development. This is a problem for me because Barnum is framed to be without the prejudice others are so filled with towards the ""freaks,"" but never in the story does he actually defend their humanity or say anything to prove that he sees them as more than meal tickets. This is even more apparent by the fact that he never apologizes for having ignored and abandoned them. Furthermore, the majority of the ""freaks"" are lumped together as a whole, giving me no impression of their individual characters, their individual motivations, or any real impression that they have a working relationship with Barnum at all. Because of this, I can't help but feel that the ultimately inclusive message of ""be proud of who you are"" stems from a purely systematic view of the audience. Or, they wanted to make money, and so they hopped on the ""diversity is good"" train without really caring about writing a deeper, more meaningful story. Which begs the question, does this family film have to be more deep and meaningful? I guess not, it could be seen as harmless, but I, for one, have little tolerance for films that glorify reckless men like Barnum. I know its a simple rags-to-riches story, but if we're going to play around with empowering those who feel othered by society, I'd like something that doesn't revolve around a simplistic version of a historically problematic man that does the absolute minimum amount of work to represent people of various minorities. I think the people who were helming this project thought--maybe even subconsciously--that generic would be fine, relatable, and free of controversy. If you don't think about it too hard, it's a fun movie for the whole family, but I personally find this kind of storytelling irresponsible and in poor taste, especially today.","
            3/10
            "
"blanbrn","28 December 2017","""The Greatest Showman"" is one film that has themes of drama, doubt, struggle, and love and yet most of all it's a historical musical drama about how the legendary P.T. Barnum came about. As a kid you enjoy animals and the circus and enjoy sideshow attractions, well with this film you see how all of the makings and sideshow discovery things came about from one P.T. Barnum(Hugh Jackman).The movie despite having struggles of doubt, money concerns, and love drama is moved along just fine with great sounds of music as it's entertaining on the ears. And the growth along the way is seen of P.T. and his relationship with wife Charity(Michelle Williams).Overall this film is entertaining a good mix of sound with story that features drama and love and the performances from Jackman and Michelle is in top notch form as their screen chemistry makes this film a watch!","
            8/10
            "
"billbraskeyus","24 April 2018","Probably the least memorable musical I've ever seen. Not sure why people like this so much. It lacked good music, story had no build and in the end was just plain boring. Trust the critics on this one.","
            10/10
            "
"tcountry","12 August 2018","I'm going to make this review short and sweet. The actors here did their best to tell the story and sing the story of PT Barnum. My problem with this production is they used music from our time now (the style) for times that were happening in the late 1800's and early 1900's. Why not use period music? Totally didn't get that. Even when Jenny Lind sang... she was supposed to sing opera music...she sang a pop flavored ditty. The music did not work...at all. Acting was good and above par...but whoever figured music styles from now would fit into a story back then...","
            9/10
            "
"DuskShadow","20 July 2018","Well what an interesting premise: he had what I believed would be a failry in depth look at both the genius capitalist that was P.T.B. whilst also knowingly casting a glance upon his epic disregard for human dignity and fair treatment.
The movie was not completely accurate, as few things done in hollywood are, yet casting Hugh Jackman was...far too tasteless a choice for a movie that was supposedly in the works for 7 years!. It had a few cameos here and there, but nothing sterling even. The performances were not breathtaking in the least, nor believable, the acting was mild and far too feminine in its goal for my tastes. And even my mother saw the film and was of the same mind roflolmfao.
 This was basically Dumbo meets La La Land; Okay, but nothing grand. Except one pretty and fetching red head/ auburn hair songstress. *shrugs *","
            3/10
            "
"Johnny-the-Film-Sentinel-2187","17 March 2018","The Greatest Showman is one of those rare movies where the soundtrack actually transcends the movie it came from; now what about the film itself? The film is spectacularly pretty and vibrant in its activity and cast, though the story is rather familiar but welcome territory. It's an underdog who risks everything and there are PLENTY of hurdles along the way to get to the top, and Hugh Jackman is a great leading man in any role he's given.The best song in the film is easily 'This Is Me'; and all the other goodies are still memorable too. But it's that one song that truly shines: like a pop-song you first listen to and it feels like it's always been there, waiting to be discovered.The Greatest Showman; give it a watch and ignore Rotten Tomatoes on this one. After all, internet-critical-consolidation is a b!tch!","
            7/10
            "
"allanmichael30","1 December 2018","This film is tedious and dull with most of the singing Vocal Harmony Using Pitch Shifting Software and Comping - Sound On Sound. The only people singing were Keala Settle, who plays the role of the bearded lady Lettie Lutz in The Greatest Showman and Loren Allred not in film. main star Hugh dissapointmen.","
            1/10
            "
"rachaelperson","18 September 2022","I love musicals. I like Hugh Jackman and Zendaya. I went into this movie hopeful. Sadly, it's just not good.My number one problem is the music. A few of the songs were decently written and catchy, but the real issue is how overly-processed all of the singing is. Some of these people have sung professionally - surely they don't need this much autotune. And for the ones that aren't professional singers...it's a musical, why did you hire them. ""This is Me"" is the song that really took off when this movie was released, and for the life of me I can't see why. It's easily the most soulless, factory-produced piece of plastic pop music in the whole movie.The story is another problem: there is essentially no conflict. A guy wants to start a circus. He does. The end. What's concerning is that real historical aspects of P. T. Barnum are brushed aside to make him more likable. He wasn't a nice guy. Why not make a movie about that? It'd be infinitely more interesting than what's here.I know a lot of people really like this. I'm not trying to take that away from anyone who likes it. This just isn't good in my opinion. (Also, the Golden Globes nominating this for so many awards is insulting.)","
            6/10
            "
"svhot","22 December 2017","""The Greatest Showman "" is a totally entertaining movie for lovers of musical-movies. The director and writers have taken the character of Barnum and put a sweet spin to his actual story. The alterations that have been made to Barnum's actual tale make this movie very refreshing. The songs are outstanding, the dance choreography is perfect, not even a minute of boredom is present, the acting is great. Hugh Jackman plays Barnum , a poor man , who gets the opportunity of getting married to the love of his life - Charity (Michelle Williams). Charity comes from a privileged family , and Barnum finally gets the once-in-a-lifetime opportunity to prove his talents by opening a circus that soon becomes a huge sensation. However, due to his over-ambitious nature and personality, he fails to recognize the happiness that has been provided to him in the present ; he attempts to focus too much on the future. Hugh Jackman has given one of the finest (and perhaps sweetest) performances of his career. Michelle Williams also gives a good performance as his wife. The supporting cast have also given effective performances ; Zac Efron and Zendaya portray a young couple in love. The direction is also good.I would love to become a story-writer for movies because interesting stories keep developing in my mind all the time (Yes, I am telling the truth !!) .","
            10/10
            "
"pastorjk","27 December 2017","There are many good and bad movies this holiday season. ""Star Wars: The Last Jedi"" is good, and ""Jumanji"" was surprisingly good. ""Downsizing"" was not worth the paper it was printed on. Justice League was ok, and Thor the same. I love movies, but I have a new favorite movie of all time. I was reluctant to go to ""The Greatest Showman"" because I usually HATE musicals. However, the story was amazing and so uplifting. Zendaya was infectious, Zac Efron has grown up. and Huge Jackman was....CRAZY good! I wanted to see a movie, but I had seen all the movies I really wanted to see this holiday season, so I went to this movie. I did so with little anticipation, but It was a work of art. Based on the life of P.T. Barnum. He rose from nothing. The story alone would have made it a great movie. The music alone...the acting alone..the everything. Ok..enough..it was great.","
            1/10
            "
"cudaguy741","27 December 2017","I'm not much for musicals but love the history of the circus which we no longer have because of political correctness. Anyway I really enjoyed this movie. I'm sure historians can find fault and the dance numbers obviously are more in tune with these days than the early 1900's. My favorite Jackman part sorry Wolverine fantastic comic fans but he was very good. The whole cast was enjoyable and there is a nice message in the movie as well about accepting who you are and never mind the upper class snobs. Just go see it and enjoy!!!","
            9/10
            "
"jennigraham","5 May 2023","Where to start? Sure, the songs are catchy, and the acting is great with a stellar cast. Doesn't negate the fact that Barnum was a conman who didn't really care about the people in his charge except to exploit them, not just in life, but in death as well.One of his most egregious acts was when he bought an enslaved woman and pretended that she was once owned by George Washington. When she died, rather than let her go in peace, Barnum hosted her autopsy in a New York saloon where spectators paid 50 cents to see the dead woman cut up. Didn't see that in the movie!Hugh Jackman tries to portray Barnum as a kindly smooth-talking Harold Hill-type when he was really just a cynical grifter. ""Rewrite the Stars,"" indeed.This movie is just an empty cloying confection of nothing to go with your popcorn.","
            5/10
            "
"rockman182","21 December 2017","Alas, the holiday season is upon us and with that the holiday season of films. A nice mix of buzzworthy films and Oscar hopefuls, this time of year is wonderful for cinephiles. I was mildly interested in checking this film out because it looked like a capable musical. After La La Land, you had to expect more musicals attempting to emulate that film's success. I have no problem with that, I have plenty of time for all times of films. The Greatest Showman stumbles on problems with its script and storytelling but make no mistake about this film having a glorious soundtrack and fantastic production and set design.The film is (apparently a rather loose) telling of the story of P.T. Barnum and his struggle to make something for himself and his family. His initial idea of a museum isn't a success but he get's the idea of an innovative form of entertainment involving unique individuals with rare talents formerly shunned as outcasts of society. Yes, this becomes the modern day circus. I don't know exactly how truthful this is to the original story but I sensed that this film is heavy on dramatization and made things more peachy and roses than they might have been.The plot is thin, there isn't a whole lot of development of side characters and you will feel like this film falls short ass a well written musical, like that of La La Land. It's well written in the sense that the songs in the film are quite excellent. Catchy, elegant, and near impeccable in sound , the soundtrack roars and impresses. The same has to be said about the choreography, the dance numbers, costume design, and the glitz and glamor of the early 90's and the grand circus theme. Its honestly a visual and sonic experience that's worth the watch alone.I also liked the fact that this film doesn't overstay its welcome with an under two hour running length. It sort of zooms by and perhaps could have added more meat to its bare story but I'll take that over a long and dreary musical that becomes dull because of its length. The Greatest Showman may get lost in the award season shuffle but it does its job of being a fun time.7/10","
            10/10
            "
"sfumatosprocket","25 December 2020","I'm scoring low because it's obvious cast/studio members & extras posting this as a '10' to upvote their work.
Every song sounds like Vegas digital voice filter cheese.
A shame, because they could cut all the music, replace those segments with meaningful dialogue to link to the story, and have a great film.
It doesn't make sense to do a musical unless it's truly a stage or fully CGI production.
But the real sin of this flick is it sugarcoats the carny realities of seedy persons and hard labor behind the scenes...it makes a mockery when most accounts of PT Barnum feature the dichotomy of the ruthless man driven for making money behind the scenes, and the ringleader smiling showman to the ticket holders.
This movie feels like a cartoon version of a subject matter ripe for a better presentation.
West Side Story was iconic with great music and a flowing story...ALL DONE ON STAGE SETS! Why even go into this genre if it's not a full flowing musical?
Given the budget, cast & sets, I'd much rather this had just dialogue and a clever script.
If you like terrible 80's soundtrack movie musicals you might score this a 10 and hate me.
I'm OK with that. But I don't hate you if you have such terrible taste that you love this movie.
This might be a movie some wives might enjoy in the house while the hubby enjoys listening to the radio while tinkering in the garage.
So it does have a place.","
            1/10
            "
"jaredpahl","13 February 2019","I will admit, I'm a sucker for movie musicals. Give me genial, upbeat stories set to catchy music and I'm willing to forgive a lot of flaws. Generally speaking, musicals are easy to enjoy, no matter who is behind the camera. The Greatest Showman, Hugh Jackman's musical biopic of circus pioneer P.T. Barnum, is indeed likable. Jackman makes a great ring leader, for the circus as well as the film, and the songs are undeniably appealing, but with banal, clichéd, uninteresting stuff going on between the music, The Greatest Showman is barely worth the two-hour investment.The film is very light on story. The narrative is your standard biographical retelling of an unlikely rise to fame. In this case, it's P.T, Barnum, who had an interesting real life, but whose circus' rise to prominence is rendered pretty well drama-free, here. The Greatest Showman pays lip service to ideas of self-worth and confidence, and it admirably creates a sense of camaraderie among the circus' entertainers, but whatever interest I took in the story was fleeting. The manufactured conflicts, including an interracial love affair between Zac Efron and Zendaya's characters, or a sub-plot concerning circus protestors, wear thin as they go along. The best musicals not only have great music and colorful dance numbers but a powerful central narrative. That aspect is clearly lacking in this script.Despite feeling like an old-fashioned Hollywood musical, The Greatest Showman is actually rather unorthodox when it comes to its music. The songs are all modern pop, which is initially rather odd considering the film is set in the 19th Century, but before the first number was over, I had warmed to the notion. Now I don't consider myself a fan of modern pop music, but these songs impressed me. There's a brassy mix of acoustic and electronic to nearly every song, and as a result, they all sound kind of similar, but I couldn't help tapping my toes to most of them. These are great songs. If I had one complaint, it's that the best songs seem to be loaded at the front.There is a subset of 30-40-year-old women who will absolutely adore The Greatest Showman. It is rooted in classic Hollywood, with a charismatic lead actor, a feel-good story, and wholesome themes. Yet, it's hip enough in its music to feel fresh. For that subset and others, that is all they will see. They won't be bothered by the lack of a compelling narrative or the shopworn clichés about letting your freak flag fly. They won't mind the grinding pacing or the chopped-up dance numbers that never linger long enough. There is a lot you have to overlook in The Greatest Showman to really enjoy it, but it is possible.63/100","
            6/10
            "
"Reckno64","21 August 2019","I saw this last May for the first time while at a residential hospital. Needless to say, I had no idea what I was missing out on! I am not one to usually watch these types of films, but this was just too good not for me to write a review on! The songs are incredibly well performed, the acting is outstanding, and the singing is just amazing. And I'm not afraid to admit it hit me in the feels a few times too. :)Go watch this movie! I can't recommend it enough! I normally review animated features, but this was an exception!","
            10/10
            "
"acarlisle-68478","23 April 2018","I won't lie I'm not the biggest fan on musicals but if they have a good story they can be great. But they can't be over crowded with music which this one was their is after doing the math only 45 minets of non music that's too much and the whole point of the movie is to show the people that are different and why they are still great people that was only touched on once. But their are so many other problems I would write a book if I wrote them all","
            10/10
            "
"steph-mose","18 October 2020","Like many other reviewers I avoided this movie because of the hype but then found it was one of the films available during a long flight so decided to give it a go. Loved it! The way the music and songs weave so impeccably into the narrative of the film is fantastic and they are just fantastic foot stomping singalongs that you just can't help but sing. Yes there are bits that are a bit cheesy but that makes it all the better. I eventually managed to persuade my hubby to watch it and now he is hooked too!","
            4/10
            "
"dailydarkness2021","21 August 2018","This movie is a total disaster which starts from nowhere and ends no where. it doesn't have any plot and it fails to connect with the viewers. this movies is a wannabe 'Bigfish' which doesn't even succeed to catch a small prawn.","
            1/10
            "
"filakotekova","21 December 2017","This was magnificent piece of art, music and deep story. The actors did a perfect job. The songs were so amazing. I really liked that not every sentence was delivered by singing, but that there were just regular speaking parts and songs between. So even if you are not into musicals its very good movie for you. The songs and the energy in them were just awesome. There was not even a second where I would feel bored or not entertained. The story is amazing as well. Although some people may say the main character is in real life not as amazing as in the movie or was just selling not a real truth, well I am here not to judge, everyone has his opinion and no matter how it was, I just take it as it was inspired by some person with a great idea and its not documentary about his life so as a movie if its totally true or not, I dont think it matters. As a movie the story was amazing and very deep. I think everyone should see this movie. I wanted to watch it again right away after it finished.","
            5/10
            "
"arthurdaleystrilby","3 March 2019","Hideous music by numbers that is way over produced, badly written, poorly acted and emotionally bankrupt with some truly hideous 'I'm proud to be me' moments. I watched this to the end thinking that there was going to be a great reveal or some sudden depth, but nope. Not a glimmer.
With all of the great musicals our there I can think of no reason to recommend this absolute steamer. I'm baffled how this has garnered such a following. Now, Where's my Grease blu ray?","
            8/10
            "
"abdullahkhanpathan","29 March 2018","The Greatest Showman, directed by Michael Gracey, is a star-studded musical which blesses our eyes with Hugh Jackman, Zac Efron, Zendaya
The movie starts with the character of Hugh Jackman, P.T Barnum, as a poor child who dreams of making it big to marry the girl of his dreams, Charity - the daughter of the man that he works for
As it progresses, we see P.T marry Charity and have two wonderful daughters all the while trying to make it big to prove Charity's father that he's a husband worthy of having. P.T has an idea of opening a museum, which fails but her daughters suggest that his museum needs more life and ""alive"" things. So, P.T auditions for people with unique characteristics that will attract audiences and sees his museum transform into a circus. 
Now there are some technical and narrative problems in the overall film. To begin with, there is a clear lack of depth in plot and story. For instance, the film ditches exploring various characters' lives. For instance, it barely skims over the main plot points to give us a summarised, not to mention historically inaccurate, view of P.T Barnum's life. So what could have been an adventure of a film, the writers instead chose to make it appeal to a mass-audience and in the process gave us a hardly memoriable story. 
Secondly, I can't help but say it, that the movie uses its songs only to tighten it grip on the audiences' attention. The musical numbers were forgettable, loud and for the most part glossy. Although, the choreography was decent if not brilliant. 
The fact that most of the acting performances were too sweet-mouthed and cringy also never helped TGS's cause. Zac Efron managed to shine, Zendaya as well, but Hugh Jackman gave a very ordinary performance and relied on his star power for the most part. Most dialogues were melodramatic and the presence of the extras struggled to contribute to the feel-goody nature of the film. The screenplay had some cliched plot points: a love triangle; the rise, fall and eventual rise of P.T Barnum. The predictability created disinterest and caused the film to fall flat on its wheels by the time the painfully long third act even began.","
            5/10
            "
"michellejentzsch","22 January 2022","It has it all - music, storyline, love, family, friendship, choreography, taboo of race and odd balls, emotion and colour.It's entertaining, and not to be seen as a documentary of the inventor of the circus. The cinematographics are beautiful and the music and songs hold your attention and are all relevant to the story. I'd watch it again and again.","
            7/10
            "
"nmae-26907","11 December 2020","This is one of my most favorite movies. The Greatest Showman is very inspiring and heartfelt. I honestly cried a few times, but this show brought me so much joy. The fact that it is based on a true story just adds more excitement to it. This movie is a great example of why you should never give up on your dreams and to take risks.","
            2/10
            "
"dfe51","10 April 2019","This movie is more pep rally, than movie. What I found the most objectionable, was as the movie is trying to erase how we feel about people who have ""challenges"" to their lives, we are reinforcing an old stereotype having the ""haters"" in the movie being exclusively be Irish . I will give you, that the Irish population during this time period could run as high as 25% of NYC population. But, there were other ethnic groups (Germans) that were living in NYC.","
            2/10
            "
"nicholls_les","25 October 2020","I am not a big fan of musicals, but from the reviews I expected this to be amazing; it isn't.
Dull music that gets repeated so often it is annoying, The story was unbelievable and so far from the truth, P.T Barnam was a tyrant, he was cruel to his acts and his animals.
He was racist and he subjected an 80 year old black slave woman, Joice Heth, billed as George Washington's 160-year-old nanny, to horrendous mistreatment. Poor Joice was blind and partially paralysed, with just enough movement in her right arm to allow her to smoke a corn-cob pipe. She was also toothless. Barnum even boasted about how he'd plied her with drink and then pulled out her remaining teeth to make her look closer to 160.
Not surprisingly, she didn't last long - barely a year, and after her death, Barnum charged people to watch her body being dissected.There is also no mention in the film of black conjoined twins Millie-Christine, or black brothers, Eko and Iko, all of whom had been kidnapped from their parents as children for their 'freak show' value, and later acquired by Barnum. Or the dread-locked black males who were displayed in cages as 'wild men'.He was 60 when he started his circus business, he had 4 children not 2, and his children got older unlike the ones in this movie.The movie shows him resuing someone from a fire, but in truth, in the 1860s, his New York Museum burned down not once, but twice, boiling whales alive, roasting pythons and letting orang-utans and serpents loose to roam free in Manhattan.There is nothing about his endless failed business ventures, his obscenely hasty second marriage, after his first wife's death, to a girl 40 years his junior.Jackman has said, ' So many things that I aspire to in my life are embodied in this one character.'So Barnum is portrayed in this movie as a likeable, moral, skilled businessman, loved by all. In truth, during his later years, in perhaps his biggest fraud of all, he achieved the acceptance he craved from smart society by reinventing himself as a philanthropist, reforming mayor and anti-slavery campaigner. And he almost, but not quite, rewrote history so that characters like Joice Heth on whom he built his fortune, the twins Millie- Christine, or black brothers, Eko and Iko, poor little Zip the Pinhead - and scores of others like them - were forgotten.Just as they have been in the film.","
            5/10
            "
"burlesonjesse5","27 December 2017","The Greatest Showman is my latest assessment. It is touted as a musical. Therefore, how can I possibly recommend ""Showman"" if its best scenes don't involve the actors and/or actresses breaking into song.Anyway, The Greatest Showman comes off like hasty rags to riches stuff. It tests your show tunes patience but it could never be mistaken as boring. ""Showman"" is meager and flashy and I guess, betters something like 2014's Into the Woods. In truth, Into the Woods didn't have an actual hint of a story. ""Showman"" in fits and starts, sort of does. Throughout ""Showman"", I kept wondering what the late P. T. Barnum (the movie's subject and true-life inspiration) would have thought had he been alive to see it. He probably would've marveled at ""Showman's"" energy and playful, near period look. At the same time, P. T. would've scoffed at the lack of depth used to recreate his own life's account.The Greatest Showman feels like a modern day take on Barnum's inception of the Barnum & Bailey Circus. It has lavish dance numbers accompanied by contemporary melodies that pound you over the head with their Muzak-like senses.Rookie director Michael Gracey thinks he's making an Academy Award winner with ""Showman"". The unfortunate validity is that his film lacks artistic merit and has an unintentional ""popcorn"" feel to it. Gracey fills The Greatest Showman with plenty of razzle-dazzle. His pace is feverish with roving camera movements and a few whip pans. Sure his ""Showman"" has a narrative but its narrative is arbitrarily slight and takes shortcuts. Gracey would rather have his flick ""show"" off musically, freakishly, and visually. That explains the running time of The Greatest Showman which is a less-than-monumental 105 minutes.""Showman"", with its characters comprised of a bearded lady, a dwarf, and an acrobat, stars Hugh Jackman, Zac Efron, and Michelle Williams. Jackman takes on the title role of P. T. Barnum. Jackman in a way, is almost perfectly cast. He's got the looks, he can dance, and he can act. The problem is that he's not much of a singer. As for Efron, well it feels like he took on his ""Showman"" role to shake off his image of appearing in lots of teenage sex comedies. Here's the problem: The Greatest Showman is not quite the vehicle to break Zac out of his raunchy, frat boy shell. Rating: 2 stars.","
            6/10
            "
"amie_drinkwater","26 December 2017","Half way through the film I was already figuring out when I can see it again!!! Incredible performances, songs and everything in between","
            10/10
            "
"inkblot11","22 April 2018","PT Barnum (Hugh Jackman) , as a poor child, lived near a wealthy mansion, for his father worked at the ""big house"". Unhappily, Phinneas Taylor is left an orphan while his best friend, Charity (Michelle Williams), the daughter of the landowner, is sent away to boarding school. Nevertheless, the two continue to write to each other consistently, for the young love turns into mature love. Bringing himself up by his bootstraps, PT finally convinces Charity's father to give him her hand but no money is bestowed on the couple. Dad thinks Charity will realize her mistake and come running back. NOT SO! PT has dreams of opening a museum of odd things even as the couple has two daughters. The museum soons evolves into a circus, with Tom Thumb, a midget, riding a horse, a bearded lady and other bizarre attractions. Its a big success, even though some of the folks in NYC object to what they call the exploitation of the deformed. Hooking up with a talented promoter, Phillip (Zac Efron) the enterprise becomes even bigger. Making things complicated is Phillips admiration and affection for the principal trapeze artist, Anne (Zendaya), for she is a mixed-race gal in a time when prejudices are front and center. Then, PT gets the notion to put Europe's greatest opera singer, Jenny Lind (Rebecca Fergueson) on a tour of many cities. Will the distance between PT and Charity and the girls bring strain? Ms. Lind, after all, is very beautiful. Then, another tragedy occurs. Can the Greatest Show on Earth continue? This biography of Barnum is an old-fashioned tale of love, endurance, hard-work and gumption. What rare values in today's society! Yet, the very fine music and songs are contemporary, making one doubt whether the two will mesh...they do! Days after I saw it I was still humming the music. Kudos to the composers. Also fine is the cast, with Jackman's handsome face and voice leading the way. Naturally, the period costumes are fabulous while the script and direction keep the tale moving along nicely. Folks, are you looking for a movie in the vein of of classic musicals but with a modern twist? You will find it here!","
            9/10
            "
"missylks-64800","26 May 2018","Was expecting to see a movie with good music and an interesting history about the class circus. What appeared was an extremely auto-tuned soundtrack with songs that appeared at random times without introduction AND a predictable plot line with too many archetypes.(ex: every story needs a love tale. every story needs a public shame, etc.) It had potential too be a great movie and the result was a disappointing act.","
            7/10
            "
"Avwillfan89","16 March 2018","This film is not a biopic, it's a musical based on P.T Barnum ideas and fantasies.Although the story itself is rather messily cut together and feels more like a music video than anything else - the film's intention is not to create something heavy, complex and gritty. It is what Barnum wanted to do with his shows: just to entertain, thrill and just be enjoyable.And that's exactly what this film does and more. The soundtrack is an absolute revelation and makes me feel happy every time I listen to it in the bus or go out for a walk. It's not meant to be taken seriously. It's just there to entertain and help you let go. And I find too few of movies these days who can truly do that for me.","
            7/10
            "
"spencieboi","27 March 2018","The Greatest Showman is one of the worst movies of 2017, it sloppy, and stupid. The movie takes no time to develop the characters, it thinks it's so grand and heartwarming when really it's just plain bad. The visuals are terrible as well. The songs are catchy, but get annoying after a while because they all say the same thing. The songs feel so fake though, they feel like they've gone through a billion machines to make the voices sound better. The dance scenes are cool, but it's nothing compared to La La Land. La La Land takes it's time with the characters, the romance and the story, it moves along perfectly, not too fast, not too slow. This movie skips over everything important just so it can make you feel good about yourself. I understand how typical movie goers can enjoy this, if you haven't seen a lot of movies and don't go to the movies as often as I do I can see why you can like it. If you're a huge movie buff like me and have seen real musicals like Singin' in the Rain, The Umbrellas of Cherbourg, An American in Paris, and The Red Shoes, then you should know that this is a terrible movie. It's stupid, and it's lazy.","
            2/10
            "
"caleysaidani","1 December 2018","Look, I didn't need this to be Les Mis ofcourse I didn't- two completely different stories for a start BUT what I'm trying to say is that the beauty and magic and gut-wrenching emotion of past successful musicals is completely missing from this one.
A musical is a story with musical interludes and this film had the musical interludes but no real story- you know- I didn't care about a single character, least of all Barnham.Thinking about it, this may have come across better on stage, with real, live performances rather than a whole lot of auto-tune- the songs are ok but they all sound the same, like they are all different sections of the same song; crappy pop-tunes in falsetto- no substance, no 'real' voices like Moulin Rouge for example- at least that was actually Kidman and McGregor's singing voices.Not great, won't stick in my memory at all- could have been so much more. I will most likely never watch again.","
            4/10
            "
